COUNTY,itemID
15County,https://morpc.maps.arcgis.com/sharing/rest/content/items/8f541fe4dbb243e9a076a64e33a60042/data
Delaware,https://morpc.maps.arcgis.com/sharing/rest/content/items/40e4a61be5b24deeb2f444fe0f630e22/data
Fairfield,https://morpc.maps.arcgis.com/sharing/rest/content/items/8eced57b502a4ea4a0867059e297ec4c/data
Fayette,https://morpc.maps.arcgis.com/sharing/rest/content/items/c188d73757c14caf91e8cc1bd727bd89/data
Franklin,https://morpc.maps.arcgis.com/sharing/rest/content/items/1bfb8a15ac4f454aa60b296b786a80b2/data
Hocking,https://morpc.maps.arcgis.com/sharing/rest/content/items/76db9bee3ac5421a85ae9a6f647fbc3b/data
Knox,https://morpc.maps.arcgis.com/sharing/rest/content/items/17bc57c2f50a456aa4ada7736c4464a6/data
Licking,https://morpc.maps.arcgis.com/sharing/rest/content/items/02ca5f9396734ab7a7e838267d449a31/data
Logan,https://morpc.maps.arcgis.com/sharing/rest/content/items/4a0edd82238d43aaa6184f41f1fe6bfd/data
Madison,https://morpc.maps.arcgis.com/sharing/rest/content/items/201cf719a3ee44438e06cf03fdddd730/data
Marion,https://morpc.maps.arcgis.com/sharing/rest/content/items/4ab7d6a156a64dd48e8f623b3308c627/data
Morrow,https://morpc.maps.arcgis.com/sharing/rest/content/items/4547b0911edd4e36986494c9639f81f5/data
Perry,https://morpc.maps.arcgis.com/sharing/rest/content/items/1801a39772b44e58af9e0a080d25eb35/data
Pickaway,https://morpc.maps.arcgis.com/sharing/rest/content/items/b10375d34020407f85e1dc59439bbe70/data
Ross,https://morpc.maps.arcgis.com/sharing/rest/content/items/acfeadaf10784c6989ac644c59f01e87/data
Union,https://morpc.maps.arcgis.com/sharing/rest/content/items/3bf852211e1d400d90c6289a88746ade/data
