COUNTY,RACE,YEAR,POP
15County,AA,2000,39267
15County,AA,2001,41664
15County,AA,2002,44043
15County,AA,2003,46699
15County,AA,2004,48635
15County,AA,2005,50796
15County,AA,2006,53046
15County,AA,2007,54791
15County,AA,2008,56821
15County,AA,2009,58556
15County,AA,2010,121054
15County,AA,2011,63769
15County,AA,2012,66927
15County,AA,2013,71774
15County,AA,2014,77219
15County,AA,2015,83437
15County,AA,2016,89657
15County,AA,2017,96214
15County,AA,2018,101478
15County,AA,2019,106919
15County,AA,2020,221008
15County,AA,2021,113359
15County,AA,2022,117839
15County,AA,2023,122008
15County,BA,2000,223928
15County,BA,2001,232040
15County,BA,2002,239456
15County,BA,2003,246860
15County,BA,2004,253528
15County,BA,2005,259577
15County,BA,2006,266519
15County,BA,2007,273262
15County,BA,2008,279543
15County,BA,2009,285281
15County,BA,2010,579812
15County,BA,2011,296211
15County,BA,2012,303239
15County,BA,2013,311240
15County,BA,2014,320140
15County,BA,2015,328658
15County,BA,2016,337482
15County,BA,2017,347669
15County,BA,2018,356018
15County,BA,2019,363264
15County,BA,2020,737021
15County,BA,2021,375018
15County,BA,2022,383184
15County,BA,2023,392641
15County,HAA,2000,325
15County,HAA,2001,394
15County,HAA,2002,428
15County,HAA,2003,454
15County,HAA,2004,479
15County,HAA,2005,546
15County,HAA,2006,630
15County,HAA,2007,719
15County,HAA,2008,744
15County,HAA,2009,766
15County,HAA,2010,1716
15County,HAA,2011,863
15County,HAA,2012,853
15County,HAA,2013,902
15County,HAA,2014,904
15County,HAA,2015,901
15County,HAA,2016,883
15County,HAA,2017,924
15County,HAA,2018,918
15County,HAA,2019,975
15County,HAA,2020,2115
15County,HAA,2021,1083
15County,HAA,2022,1113
15County,HAA,2023,1131
15County,HBA,2000,2786
15County,HBA,2001,3044
15County,HBA,2002,3293
15County,HBA,2003,3514
15County,HBA,2004,3914
15County,HBA,2005,4466
15County,HBA,2006,4914
15County,HBA,2007,5335
15County,HBA,2008,5786
15County,HBA,2009,6081
15County,HBA,2010,12768
15County,HBA,2011,6705
15County,HBA,2012,7035
15County,HBA,2013,7439
15County,HBA,2014,7898
15County,HBA,2015,8331
15County,HBA,2016,8870
15County,HBA,2017,9326
15County,HBA,2018,9920
15County,HBA,2019,10335
15County,HBA,2020,22703
15County,HBA,2021,12352
15County,HBA,2022,12850
15County,HBA,2023,13493
15County,HIA,2000,591
15County,HIA,2001,689
15County,HIA,2002,785
15County,HIA,2003,938
15County,HIA,2004,1042
15County,HIA,2005,1152
15County,HIA,2006,1272
15County,HIA,2007,1415
15County,HIA,2008,1547
15County,HIA,2009,1704
15County,HIA,2010,3851
15County,HIA,2011,1949
15County,HIA,2012,1996
15County,HIA,2013,2035
15County,HIA,2014,2104
15County,HIA,2015,2168
15County,HIA,2016,2225
15County,HIA,2017,2347
15County,HIA,2018,2435
15County,HIA,2019,2514
15County,HIA,2020,5455
15County,HIA,2021,2977
15County,HIA,2022,3289
15County,HIA,2023,3603
15County,HNA,2000,111
15County,HNA,2001,111
15County,HNA,2002,145
15County,HNA,2003,159
15County,HNA,2004,165
15County,HNA,2005,185
15County,HNA,2006,251
15County,HNA,2007,280
15County,HNA,2008,286
15County,HNA,2009,282
15County,HNA,2010,635
15County,HNA,2011,313
15County,HNA,2012,319
15County,HNA,2013,307
15County,HNA,2014,300
15County,HNA,2015,301
15County,HNA,2016,305
15County,HNA,2017,317
15County,HNA,2018,345
15County,HNA,2019,336
15County,HNA,2020,659
15County,HNA,2021,320
15County,HNA,2022,346
15County,HNA,2023,354
15County,HTOM,2000,1160
15County,HTOM,2001,1361
15County,HTOM,2002,1582
15County,HTOM,2003,1760
15County,HTOM,2004,1927
15County,HTOM,2005,2095
15County,HTOM,2006,2365
15County,HTOM,2007,2582
15County,HTOM,2008,2850
15County,HTOM,2009,3137
15County,HTOM,2010,7163
15County,HTOM,2011,3786
15County,HTOM,2012,3937
15County,HTOM,2013,4107
15County,HTOM,2014,4321
15County,HTOM,2015,4482
15County,HTOM,2016,4708
15County,HTOM,2017,5006
15County,HTOM,2018,5284
15County,HTOM,2019,5542
15County,HTOM,2020,12020
15County,HTOM,2021,6495
15County,HTOM,2022,6919
15County,HTOM,2023,7365
15County,HWA,2000,26682
15County,HWA,2001,29995
15County,HWA,2002,33060
15County,HWA,2003,36415
15County,HWA,2004,39570
15County,HWA,2005,42693
15County,HWA,2006,46016
15County,HWA,2007,49293
15County,HWA,2008,52515
15County,HWA,2009,55899
15County,HWA,2010,116716
15County,HWA,2011,59885
15County,HWA,2012,61682
15County,HWA,2013,63910
15County,HWA,2014,66174
15County,HWA,2015,68671
15County,HWA,2016,71304
15County,HWA,2017,74520
15County,HWA,2018,77318
15County,HWA,2019,80485
15County,HWA,2020,177829
15County,HWA,2021,97147
15County,HWA,2022,100559
15County,HWA,2023,104503
15County,IA,2000,5091
15County,IA,2001,5332
15County,IA,2002,5309
15County,IA,2003,5514
15County,IA,2004,5569
15County,IA,2005,5857
15County,IA,2006,5838
15County,IA,2007,5851
15County,IA,2008,6117
15County,IA,2009,6258
15County,IA,2010,12627
15County,IA,2011,6328
15County,IA,2012,6465
15County,IA,2013,6622
15County,IA,2014,6704
15County,IA,2015,6806
15County,IA,2016,6914
15County,IA,2017,7107
15County,IA,2018,7241
15County,IA,2019,7340
15County,IA,2020,15140
15County,IA,2021,7842
15County,IA,2022,8164
15County,IA,2023,8482
15County,NHAA,2000,38942
15County,NHAA,2001,41270
15County,NHAA,2002,43615
15County,NHAA,2003,46245
15County,NHAA,2004,48156
15County,NHAA,2005,50250
15County,NHAA,2006,52416
15County,NHAA,2007,54072
15County,NHAA,2008,56077
15County,NHAA,2009,57790
15County,NHAA,2010,119338
15County,NHAA,2011,62906
15County,NHAA,2012,66074
15County,NHAA,2013,70872
15County,NHAA,2014,76315
15County,NHAA,2015,82536
15County,NHAA,2016,88774
15County,NHAA,2017,95290
15County,NHAA,2018,100560
15County,NHAA,2019,105944
15County,NHAA,2020,218893
15County,NHAA,2021,112276
15County,NHAA,2022,116726
15County,NHAA,2023,120877
15County,NHBA,2000,221142
15County,NHBA,2001,228996
15County,NHBA,2002,236163
15County,NHBA,2003,243346
15County,NHBA,2004,249614
15County,NHBA,2005,255111
15County,NHBA,2006,261605
15County,NHBA,2007,267927
15County,NHBA,2008,273757
15County,NHBA,2009,279200
15County,NHBA,2010,567044
15County,NHBA,2011,289506
15County,NHBA,2012,296204
15County,NHBA,2013,303801
15County,NHBA,2014,312242
15County,NHBA,2015,320327
15County,NHBA,2016,328612
15County,NHBA,2017,338343
15County,NHBA,2018,346098
15County,NHBA,2019,352929
15County,NHBA,2020,714318
15County,NHBA,2021,362666
15County,NHBA,2022,370334
15County,NHBA,2023,379148
15County,NHIA,2000,4500
15County,NHIA,2001,4643
15County,NHIA,2002,4524
15County,NHIA,2003,4576
15County,NHIA,2004,4527
